noninvert f,noninvert A,invert f,invert A,buffer f,buffer A
kHz,dB,kHz,dB,kHz,dB
f1,A1,f2,A2,f3,A3
1,20.643694,1,19.8667101,1,-0.0839223
10,20.565793,10,19.7313428,100,-0.0839223
20,20.327808,20,19.6857475,200,-0.0839223
25,18.935090,25,19.1190755,250,-0.9710078
30,17.721133,30,17.9173094,300,-2.2788670
35,16.561294,35,16.7814536,350,-3.4387060
40,15.222358,40,15.6943004,400,-4.4928330
50,13.463255,50,13.7561001,500,-5.5334130
100,7.958800,100,7.7355002,1000,-12.3818666
500,-6.361267,500,-5.8893245,,
